Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
18,0,0,26,26,2,1,5.0,0,0,0,1,0,0.0015990734100341797,0.0009112358093261719,1.7404556274414062e-05,2.5510787963867188e-05,0.0,4.76837158203125e-05
19,0,0,28,28,2,1,0.0,0,0,0,2,0,0.0016942024230957031,0.0009751319885253906,1.8358230590820312e-05,2.6464462280273438e-05,0.0,4.9591064453125e-05
20,0,0,29,29,3,1,7.0,0,0,0,1,0,0.0017938613891601562,0.0010411739349365234,1.9311904907226562e-05,2.86102294921875e-05,0.0,5.14984130859375e-05
21,0,0,30,30,2,1,0.0,0,0,0,1,0,0.001886129379272461,0.0011022090911865234,1.9311904907226562e-05,2.956390380859375e-05,0.0,5.340576171875e-05
22,0,0,31,31,2,1,9.0,0,0,0,1,0,0.0019822120666503906,0.0011639595031738281,1.9311904907226562e-05,3.0517578125e-05,0.0,5.817413330078125e-05
23,0,0,33,33,2,1,0.0,0,0,0,2,0,0.0020818710327148438,0.0012319087982177734,1.9311904907226562e-05,3.170967102050781e-05,0.0,5.984306335449219e-05
24,0,0,34,34,2,1,6.0,0,0,0,1,0,0.0021789073944091797,0.0012979507446289062,2.0265579223632812e-05,3.266334533691406e-05,0.0,6.198883056640625e-05
25,0,0,36,36,2,1,0.0,0,0,0,2,0,0.0022821426391601562,0.0013699531555175781,2.0265579223632812e-05,3.3855438232421875e-05,0.0,6.389617919921875e-05
26,0,0,37,37,3,2,2.5,0,0,0,1,0,0.002485990524291992,0.0015339851379394531,2.1457672119140625e-05,3.4809112548828125e-05,0.0,6.604194641113281e-05
27,0,0,39,39,2,1,0.0,0,0,0,2,0,0.002596139907836914,0.0016109943389892578,2.2411346435546875e-05,3.600120544433594e-05,0.0,6.818771362304688e-05
28,0,0,40,40,2,1,0.0,0,0,0,1,0,0.0026960372924804688,0.0016798973083496094,2.3365020751953125e-05,3.814697265625e-05,0.0,7.009506225585938e-05
29,0,0,42,42,2,1,0.0,0,0,0,2,0,0.0028100013732910156,0.0017628669738769531,2.3365020751953125e-05,3.933906555175781e-05,0.0,7.295608520507812e-05
30,0,0,43,43,3,2,8.5,0,0,0,1,0,0.0029320716857910156,0.0018451213836669922,2.3365020751953125e-05,4.1484832763671875e-05,0.0,7.510185241699219e-05
31,0,0,45,45,2,1,0.0,0,0,0,2,0,0.0030481815338134766,0.001928091049194336,2.4557113647460938e-05,4.2438507080078125e-05,0.0,7.796287536621094e-05
32,0,0,46,46,2,1,5.0,0,0,0,1,0,0.0031578540802001953,0.0020072460174560547,2.4557113647460938e-05,4.3392181396484375e-05,0.0,8.082389831542969e-05
33,0,0,48,48,2,1,0.0,0,0,0,2,0,0.0032770633697509766,0.002095460891723633,2.574920654296875e-05,4.4345855712890625e-05,0.0,8.392333984375e-05
